index	name	sample_id	analysis_id	row	PCT_ADAPTER	CATEGORY	PCT_PF_READS_IMPROPER_PAIRS	PCT_CHIMERAS	PF_INDEL_RATE
2	TS403L	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	3	0.000116	PAIR	0.0	0.001613	0.000125
5	TS404L	2ab6cc6a6f5c43b195c1e8b6337f78da	dc1a4e95f352400ca00df3a69ad3ea84	3	0.000162	PAIR	0.0	0.001934	0.00013
8	TS405L	ef760d4148ad42a39d0bde35a43e3b31	dc1a4e95f352400ca00df3a69ad3ea84	3	0.000127	PAIR	5e-06	0.002413	0.000139
11	TS406L	d6d70896de56460dba860c0e48117074	dc1a4e95f352400ca00df3a69ad3ea84	3	0.000126	PAIR	0.0	0.001797	0.00013
14	TS407L	0a3ccf425d40405a827ceb7325a540ca	dc1a4e95f352400ca00df3a69ad3ea84	3	4e-05	PAIR	0.0	0.002142	0.000133
17	TS408L	f41aabc88e7d4151a843565a70a2daff	dc1a4e95f352400ca00df3a69ad3ea84	3	0.000146	PAIR	0.0	0.002541	0.000136
19	TS409L	d9495e73bfba4d9ba6956d3180cab8a1	dc1a4e95f352400ca00df3a69ad3ea84	3	6.5e-05	PAIR	0.0	0.002666	0.000141
23	TS410L	a33ba665a8084f31be0945c2f54eb894	dc1a4e95f352400ca00df3a69ad3ea84	3	0.000425	PAIR	0.0	0.002707	0.000123
25	TS411L	d15f4147d6d64b999d63ca205dd6087d	dc1a4e95f352400ca00df3a69ad3ea84	3	6.5e-05	PAIR	5e-06	0.001956	0.000125
28	TS412L	0e453f80af994f6080dc8033656b989d	dc1a4e95f352400ca00df3a69ad3ea84	3	9.6e-05	PAIR	0.0	0.002359	0.000125
32	TS413L	15b96879589a462fac87296241376659	dc1a4e95f352400ca00df3a69ad3ea84	3	3e-05	PAIR	0.0	0.001842	0.000128
35	TS414L	0d7b2d2c575d4541808ee84463576cdc	dc1a4e95f352400ca00df3a69ad3ea84	3	3.5e-05	PAIR	0.0	0.001946	0.000131
38	TS415L	56dcd9955bad4e93b072498f0eb8c914	dc1a4e95f352400ca00df3a69ad3ea84	3	2.5e-05	PAIR	0.0	0.001821	0.000129
41	TS416L	783972d1f35c4947a9c49450f3330a24	dc1a4e95f352400ca00df3a69ad3ea84	3	4e-05	PAIR	0.0	0.001735	0.000126
44	TS417L	8c17b2d757af4ea282ed04348ae2c6f0	dc1a4e95f352400ca00df3a69ad3ea84	3	4e-05	PAIR	0.0	0.001862	0.000132
47	TS418L	85e1e1c7dde74464aaf43ca0b0107dbe	dc1a4e95f352400ca00df3a69ad3ea84	3	8.5e-05	PAIR	0.0	0.001717	0.000131
50	TS419L	849140b581784cebb9204876f0eeec96	dc1a4e95f352400ca00df3a69ad3ea84	3	1e-05	PAIR	0.0	0.002488	0.000127
53	TS420L	cd1a4219cc2843a6a10c799fb1abf2b4	dc1a4e95f352400ca00df3a69ad3ea84	3	1.5e-05	PAIR	5e-06	0.002653	0.000136
56	TS421L	efe3f144854444a196188ab924bd0d98	dc1a4e95f352400ca00df3a69ad3ea84	3	1e-05	PAIR	0.0	0.002416	0.000132
59	TS422L	8028b5009d704fddb850e3d562f35750	dc1a4e95f352400ca00df3a69ad3ea84	3	1.5e-05	PAIR	0.0	0.002182	0.000131
62	TS423L	b7b073700c8a49cfaf0b63412cc8f15a	dc1a4e95f352400ca00df3a69ad3ea84	3	4e-05	PAIR	0.0	0.002182	0.000132
65	TS424L	a301de296aec4e96a401b2d5afb38080	dc1a4e95f352400ca00df3a69ad3ea84	3	1.5e-05	PAIR	0.0	0.002027	0.000125
