index	name	sample_id	analysis_id	row	ESTIMATED_LIBRARY_SIZE	PERCENT_DUPLICATION
0	TS403L	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	1	8856966	0.00545
1	TS404L	2ab6cc6a6f5c43b195c1e8b6337f78da	dc1a4e95f352400ca00df3a69ad3ea84	1	7328357	0.006599
2	TS405L	ef760d4148ad42a39d0bde35a43e3b31	dc1a4e95f352400ca00df3a69ad3ea84	1	6884244	0.00698
3	TS406L	d6d70896de56460dba860c0e48117074	dc1a4e95f352400ca00df3a69ad3ea84	1	7678255	0.006289
4	TS407L	0a3ccf425d40405a827ceb7325a540ca	dc1a4e95f352400ca00df3a69ad3ea84	1	11577093	0.004202
5	TS408L	f41aabc88e7d4151a843565a70a2daff	dc1a4e95f352400ca00df3a69ad3ea84	1	8134476	0.005949
6	TS409L	d9495e73bfba4d9ba6956d3180cab8a1	dc1a4e95f352400ca00df3a69ad3ea84	1	9676594	0.005013
7	TS410L	a33ba665a8084f31be0945c2f54eb894	dc1a4e95f352400ca00df3a69ad3ea84	1	3952331	0.011835
8	TS411L	d15f4147d6d64b999d63ca205dd6087d	dc1a4e95f352400ca00df3a69ad3ea84	1	9146754	0.005353
9	TS412L	0e453f80af994f6080dc8033656b989d	dc1a4e95f352400ca00df3a69ad3ea84	1	8612008	0.005625
10	TS413L	15b96879589a462fac87296241376659	dc1a4e95f352400ca00df3a69ad3ea84	1	10813220	0.004545
11	TS414L	0d7b2d2c575d4541808ee84463576cdc	dc1a4e95f352400ca00df3a69ad3ea84	1	10731406	0.004546
12	TS415L	56dcd9955bad4e93b072498f0eb8c914	dc1a4e95f352400ca00df3a69ad3ea84	1	10794378	0.004543
13	TS416L	783972d1f35c4947a9c49450f3330a24	dc1a4e95f352400ca00df3a69ad3ea84	1	11628221	0.004178
14	TS417L	8c17b2d757af4ea282ed04348ae2c6f0	dc1a4e95f352400ca00df3a69ad3ea84	1	9771905	0.004984
15	TS418L	85e1e1c7dde74464aaf43ca0b0107dbe	dc1a4e95f352400ca00df3a69ad3ea84	1	8802193	0.005559
16	TS419L	849140b581784cebb9204876f0eeec96	dc1a4e95f352400ca00df3a69ad3ea84	1	13322792	0.003712
17	TS420L	cd1a4219cc2843a6a10c799fb1abf2b4	dc1a4e95f352400ca00df3a69ad3ea84	1	15980510	0.003061
18	TS421L	efe3f144854444a196188ab924bd0d98	dc1a4e95f352400ca00df3a69ad3ea84	1	11849728	0.004169
19	TS422L	8028b5009d704fddb850e3d562f35750	dc1a4e95f352400ca00df3a69ad3ea84	1	12392530	0.003956
20	TS423L	b7b073700c8a49cfaf0b63412cc8f15a	dc1a4e95f352400ca00df3a69ad3ea84	1	14076422	0.003497
21	TS424L	a301de296aec4e96a401b2d5afb38080	dc1a4e95f352400ca00df3a69ad3ea84	1	13443397	0.003645
22	TS425L	e37aa39864354bdd88ad3950cbcff322	dc1a4e95f352400ca00df3a69ad3ea84	1	10702539	0.004573
23	TS426L	ab6cc2854a5943479cdda8ec09b9f01d	dc1a4e95f352400ca00df3a69ad3ea84	1	10156825	0.004787
24	TS427L	5be8dece924949cba1a388153eced081	dc1a4e95f352400ca00df3a69ad3ea84	1	11833500	0.004222
25	TS428L	8a296b73a2004fbcb2275b25df7d315a	dc1a4e95f352400ca00df3a69ad3ea84	1	14549399	0.003374
26	TS429L	a60bbd6b11394c0fbb2bab6fbde79210	dc1a4e95f352400ca00df3a69ad3ea84	1	11316562	0.004363
27	TS430L	89e83661154e43c68c2b5c0e6f244d33	dc1a4e95f352400ca00df3a69ad3ea84	1	11654580	0.004214
28	TS431L	6968be940ca542209a556e818acdc067	dc1a4e95f352400ca00df3a69ad3ea84	1	11114279	0.004402
29	TS432L	819ba00fec6d49e3ad69a959d836dac4	dc1a4e95f352400ca00df3a69ad3ea84	1	11862553	0.004126
30	TS433L	74b93e3144f541e18f4f6dad29de72d8	dc1a4e95f352400ca00df3a69ad3ea84	1	12480491	0.003943
31	TS434L	a6de7399cb964522896c8d086f165597	dc1a4e95f352400ca00df3a69ad3ea84	1	9457265	0.005194
32	TS435L	9304ec3e3202460db423690fd1c05244	dc1a4e95f352400ca00df3a69ad3ea84	1	13179250	0.003717
33	TS436L	0a91f0d0ff7c42f0a72812fb8d9fd7d1	dc1a4e95f352400ca00df3a69ad3ea84	1	12263543	0.003992
34	TS437L	be67d60bbfc0481d819d16e82a58613c	dc1a4e95f352400ca00df3a69ad3ea84	1	11003614	0.00445
35	TS438L	f3031421df044e2192a02c23fb6cc9ed	dc1a4e95f352400ca00df3a69ad3ea84	1	8584799	0.005685
36	TS439L	3db04937201d428cb78ecc873a8026cf	dc1a4e95f352400ca00df3a69ad3ea84	1	9568739	0.005133
37	TS440L	e38d9b09330c4d9f87c6fd6be2ed6969	dc1a4e95f352400ca00df3a69ad3ea84	1	10760006	0.004561
38	TS441L	0bf1b68c65d34015862e453ddf414be8	dc1a4e95f352400ca00df3a69ad3ea84	1	9170486	0.005346
39	TS442L	782994ff7ed34bbaabe3c31df30c6ca8	dc1a4e95f352400ca00df3a69ad3ea84	1	6623682	0.00742
40	TS443L	8bda6407d4e74fbe8b89d286dc2fd6e9	dc1a4e95f352400ca00df3a69ad3ea84	1	9196073	0.005318
41	TS444L	48e87e3068b540e0beb481fd4b34b6ab	dc1a4e95f352400ca00df3a69ad3ea84	1	10843997	0.004513
42	TS445L	df91f4735c24407fbac8465f3b4223de	dc1a4e95f352400ca00df3a69ad3ea84	1	13338848	0.003689
43	TS446L	361725b0b2b14d179fabeec5f5eb30ab	dc1a4e95f352400ca00df3a69ad3ea84	1	10776228	0.004532
44	TS447L	718d02a0c66e4a8da8cf772fd189cace	dc1a4e95f352400ca00df3a69ad3ea84	1	9824195	0.005021
45	TS448L	f63bd40539d34f90917c56a6db796ab4	dc1a4e95f352400ca00df3a69ad3ea84	1	13213724	0.003707
46	TS449L	fe2856e55d9f42d1aa253a8b4e12fdad	dc1a4e95f352400ca00df3a69ad3ea84	1	12588203	0.003885
