index	name	sample_id	analysis_id	row	PCT_INTERGENIC_BASES	NUM_UNEXPLAINED_READS	CORRECT_STRAND_READS	PCT_CODING_BASES	MEDIAN_CV_COVERAGE	PCT_USABLE_BASES	PCT_INTRONIC_BASES	PCT_UTR_BASES	PCT_MRNA_BASES	MEDIAN_3PRIME_BIAS	PCT_RIBOSOMAL_BASES	MEDIAN_5PRIME_BIAS
0	TS403L	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	1	0.119201	199	70400.0	0.248171	1.057131	0.427267	0.43771	0.192553	0.440724	0.071565	0.002366	0.394276
1	TS404L	2ab6cc6a6f5c43b195c1e8b6337f78da	dc1a4e95f352400ca00df3a69ad3ea84	1	0.122396	179	68212.0	0.235577	1.033319	0.416223	0.446572	0.191911	0.427487	0.00757	0.003545	0.320948
2	TS405L	ef760d4148ad42a39d0bde35a43e3b31	dc1a4e95f352400ca00df3a69ad3ea84	1	0.126993	189	66949.0	0.23196	1.064316	0.411359	0.442267	0.192379	0.42434	0.153528	0.0064	0.412519
3	TS406L	d6d70896de56460dba860c0e48117074	dc1a4e95f352400ca00df3a69ad3ea84	1	0.123046	204	68883.0	0.234344	1.093164	0.411648	0.448704	0.188722	0.423066	0.0	0.005185	0.276647
4	TS407L	0a3ccf425d40405a827ceb7325a540ca	dc1a4e95f352400ca00df3a69ad3ea84	1	0.123643	176	69502.0	0.222644	1.081145	0.399082	0.464894	0.18669	0.409334	0.0	0.002129	0.25862
5	TS408L	f41aabc88e7d4151a843565a70a2daff	dc1a4e95f352400ca00df3a69ad3ea84	1	0.12583	179	68228.0	0.230394	1.089231	0.406939	0.448776	0.18831	0.418704	0.055233	0.006689	0.349107
6	TS409L	d9495e73bfba4d9ba6956d3180cab8a1	dc1a4e95f352400ca00df3a69ad3ea84	1	0.128397	176	66977.0	0.219386	1.049661	0.394847	0.460677	0.186788	0.406174	0.047985	0.004752	0.315578
7	TS410L	a33ba665a8084f31be0945c2f54eb894	dc1a4e95f352400ca00df3a69ad3ea84	1	0.119184	264	68177.0	0.278164	1.051869	0.468171	0.396182	0.204095	0.482259	0.135729	0.002374	0.525513
8	TS411L	d15f4147d6d64b999d63ca205dd6087d	dc1a4e95f352400ca00df3a69ad3ea84	1	0.11999	190	69901.0	0.242551	1.073016	0.420808	0.444612	0.190719	0.43327	0.07619	0.002128	0.305112
9	TS412L	0e453f80af994f6080dc8033656b989d	dc1a4e95f352400ca00df3a69ad3ea84	1	0.123544	190	69096.0	0.241667	1.047489	0.417928	0.443666	0.188239	0.429906	0.07672	0.002884	0.309125
10	TS413L	15b96879589a462fac87296241376659	dc1a4e95f352400ca00df3a69ad3ea84	1	0.118843	195	71247.0	0.231318	1.058849	0.40977	0.45967	0.188933	0.420251	0.045854	0.001236	0.261458
11	TS414L	0d7b2d2c575d4541808ee84463576cdc	dc1a4e95f352400ca00df3a69ad3ea84	1	0.120308	219	72106.0	0.23141	1.031484	0.41111	0.456532	0.190517	0.421927	0.114049	0.001233	0.273823
12	TS415L	56dcd9955bad4e93b072498f0eb8c914	dc1a4e95f352400ca00df3a69ad3ea84	1	0.121514	198	71731.0	0.235715	1.030446	0.413719	0.453223	0.188252	0.423967	0.070546	0.001296	0.375477
13	TS416L	783972d1f35c4947a9c49450f3330a24	dc1a4e95f352400ca00df3a69ad3ea84	1	0.119864	205	72674.0	0.238949	1.035425	0.416781	0.449607	0.189699	0.428648	0.069042	0.001881	0.304773
14	TS417L	8c17b2d757af4ea282ed04348ae2c6f0	dc1a4e95f352400ca00df3a69ad3ea84	1	0.121355	158	72186.0	0.233849	1.041568	0.411806	0.45427	0.188622	0.422471	0.042045	0.001904	0.223216
15	TS418L	85e1e1c7dde74464aaf43ca0b0107dbe	dc1a4e95f352400ca00df3a69ad3ea84	1	0.123506	191	73260.0	0.240802	1.033561	0.422297	0.440466	0.191716	0.432518	0.140476	0.00351	0.255194
16	TS419L	849140b581784cebb9204876f0eeec96	dc1a4e95f352400ca00df3a69ad3ea84	1	0.121136	137	72649.0	0.235716	1.029428	0.398203	0.461824	0.171409	0.407125	0.006841	0.009916	0.281385
17	TS420L	cd1a4219cc2843a6a10c799fb1abf2b4	dc1a4e95f352400ca00df3a69ad3ea84	1	0.122768	157	71799.0	0.230167	1.048434	0.394341	0.467312	0.173003	0.40317	0.040772	0.00675	0.253781
18	TS421L	efe3f144854444a196188ab924bd0d98	dc1a4e95f352400ca00df3a69ad3ea84	1	0.122212	154	73854.0	0.238651	1.05753	0.404074	0.457485	0.174088	0.412739	0.0	0.007564	0.321392
