index	gc (%)	counts	sample_id	analysis_id	name
0	50.0	5420.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
1	44.74	6336.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
2	51.32	5154.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
3	48.68	5721.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
4	47.37	5955.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
5	56.58	4344.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
6	57.89	3920.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
7	56.16	99.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
8	63.16	2464.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
9	55.26	4604.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
10	35.53	6768.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
11	31.58	5391.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
12	38.16	7016.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
13	34.21	6299.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
14	42.11	6798.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
15	40.79	6865.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
16	36.99	176.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
17	46.05	6047.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
18	53.95	4692.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
19	59.21	3695.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
20	64.47	2112.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
21	61.84	2962.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
22	50.7	18.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
23	69.74	1035.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
24	68.42	1249.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
25	71.05	687.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
26	59.26	8.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
27	67.11	1456.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
28	75.0	283.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
29	65.79	1742.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
30	65.22	14.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
31	72.37	504.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
32	73.68	393.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
33	67.12	28.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
34	72.6	11.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
35	77.63	190.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
36	60.53	3347.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
37	80.26	125.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
38	76.32	242.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
39	52.63	4858.0	a4f85ccd7bb94df6affa6868b6ec56d7	dc1a4e95f352400ca00df3a69ad3ea84	TS403L
